date,global,European
1979-01,-0.2309,-2.5160
1979-02,-0.4906,-1.4645
1979-03,-0.2922,-0.2274
1979-04,-0.3259,-1.9469
1979-05,-0.2858,0.0266
1979-06,-0.2580,0.4947
1979-07,-0.3306,-1.8200
1979-08,-0.2336,-0.9574
1979-09,-0.1801,-0.3754
1979-10,-0.1248,-1.5155
1979-11,-0.1470,-0.1412
1979-12,0.0667,0.9545
1980-01,-0.1084,-2.7203
1980-02,-0.0513,-0.6622
1980-03,-0.0826,-2.3798
1980-04,-0.0015,-1.2208
1980-05,0.0697,-2.2883
1980-06,-0.0799,-0.2567
1980-07,-0.0425,-1.3797
1980-08,-0.1085,-0.9603
1980-09,-0.1715,-0.1490
1980-10,-0.2160,-0.7506
1980-11,-0.1920,-1.2985
1980-12,-0.2736,-0.5083
1981-01,0.0171,-0.6395
1981-02,-0.0524,-0.5995
1981-03,0.0305,-0.1610
1981-04,-0.0305,-1.3685
1981-05,-0.0690,-0.4524
1981-06,-0.0755,0.0222
1981-07,-0.0747,-0.7314
1981-08,-0.0603,-0.9044
1981-09,-0.1398,0.1507
1981-10,-0.1792,0.4590
1981-11,-0.1878,-0.4250
1981-12,-0.0359,-0.8354
1982-01,-0.3861,-1.5790
1982-02,-0.2909,-0.7420
1982-03,-0.4431,-0.2521
1982-04,-0.3551,-1.0247
1982-05,-0.2111,-0.5378
1982-06,-0.2463,-0.9937
1982-07,-0.1711,-0.5398
1982-08,-0.2779,-0.6010
1982-09,-0.2693,0.7292
1982-10,-0.2803,-0.4053
1982-11,-0.2834,0.7222
1982-12,-0.0342,1.3855
1983-01,0.0396,1.5802
1983-02,0.0040,-1.3158
1983-03,0.0060,0.0654
1983-04,-0.0941,0.6747
1983-05,0.0277,0.1802
1983-06,-0.0920,-0.6637
1983-07,-0.1496,0.1863
1983-08,-0.0738,-0.8631
1983-09,-0.0007,0.4966
1983-10,-0.2356,-0.2479
1983-11,-0.1167,-0.7166
1983-12,-0.2251,-0.0062
1984-01,-0.2111,0.5064
1984-02,-0.3605,-0.4715
1984-03,-0.1985,-1.6647
1984-04,-0.2865,-0.1646
1984-05,-0.0539,-0.1624
1984-06,-0.3321,-1.1891
1984-07,-0.3649,-1.3691
1984-08,-0.2626,-1.3130
1984-09,-0.2898,-0.3051
1984-10,-0.2823,0.4760
1984-11,-0.4153,0.0324
1984-12,-0.4044,-0.5464
1985-01,-0.2315,-4.5670
1985-02,-0.4976,-5.0128
1985-03,-0.3365,-1.8060
1985-04,-0.2901,-0.6465
1985-05,-0.2760,-0.1674
1985-06,-0.2926,-1.1542
1985-07,-0.3687,-0.9690
1985-08,-0.2183,-0.0019
1985-09,-0.3246,-0.2846
1985-10,-0.4071,-0.0893
1985-11,-0.3566,-1.4610
1985-12,-0.3469,-0.4904
1986-01,-0.2416,-0.5688
1986-02,-0.1812,-3.8232
1986-03,-0.2186,-0.1122
1986-04,-0.1174,-0.5780
1986-05,-0.1084,0.3260
1986-06,-0.2742,0.3281
1986-07,-0.2816,-0.8231
1986-08,-0.2613,-0.7074
1986-09,-0.3307,-1.2217
1986-10,-0.3542,-0.1597
1986-11,-0.2640,0.4740
1986-12,-0.2482,-1.5464
1987-01,-0.1421,-5.4427
1987-02,-0.0920,-0.5173
1987-03,-0.2871,-3.9567
1987-04,-0.1516,-0.9318
1987-05,-0.1118,-1.4106
1987-06,-0.0174,-0.7881
1987-07,0.0778,-0.7577
1987-08,-0.0949,-1.6132
1987-09,-0.0279,0.3719
1987-10,-0.1066,0.0272
1987-11,-0.1359,-0.3158
1987-12,0.0729,-0.0080
1988-01,0.0599,1.2047
1988-02,-0.1360,0.4589
1988-03,0.0022,-0.7714
1988-04,-0.0064,-0.9906
1988-05,0.0585,0.3128
1988-06,0.0170,-0.0354
1988-07,-0.0303,0.5094
1988-08,0.0094,-0.2902
1988-09,0.0089,0.0697
1988-10,-0.1119,-0.4037
1988-11,-0.3316,-2.6044
1988-12,-0.1708,-0.3772
1989-01,-0.4052,1.7087
1989-02,-0.1396,2.7586
1989-03,-0.1631,2.4178
1989-04,-0.1324,0.7434
1989-05,-0.2464,0.2820
1989-06,-0.2324,0.0439
1989-07,-0.0708,-0.2316
1989-08,-0.1457,-0.1737
1989-09,-0.0867,0.2272
1989-10,-0.1352,0.0394
1989-11,-0.2527,-0.2291
1989-12,-0.0410,0.4818
1990-01,-0.0391,0.5195
1990-02,-0.0777,4.5412
1990-03,0.2671,2.3138
1990-04,0.1302,0.0885
1990-05,0.1443,-0.2071
1990-06,-0.0106,-0.6599
1990-07,0.0889,-0.7366
1990-08,0.0098,-0.2583
1990-09,-0.0343,-0.9881
1990-10,0.0814,0.3127
1990-11,0.1168,0.4203
1990-12,0.0494,0.4032
1991-01,0.0252,0.4361
1991-02,0.0746,-1.9386
1991-03,-0.0587,0.5464
1991-04,0.0598,-0.7040
1991-05,-0.0158,-2.1692
1991-06,0.2017,-0.6941
1991-07,0.1192,0.1000
1991-08,0.0362,0.1337
1991-09,-0.0056,0.1868
1991-10,-0.1087,-0.3545
1991-11,-0.1209,0.5091
1991-12,-0.1381,-0.4206
1992-01,-0.0193,0.3838
1992-02,-0.0535,0.8280
1992-03,-0.0529,0.7433
1992-04,-0.2370,-1.0515
1992-05,-0.1777,0.0707
1992-06,-0.1489,-0.3185
1992-07,-0.2948,-0.8981
1992-08,-0.3124,0.6469
1992-09,-0.4129,-0.0651
1992-10,-0.3618,-2.3073
1992-11,-0.3805,-0.2676
1992-12,-0.2644,0.2818
1993-01,-0.1167,0.8995
1993-02,-0.1113,-0.0863
