Number,coords.x1,coords.x2
1,483284.375,7294515.987
2,487821.357,7311828.731
3,476865.3421,7322757.458
4,584541.1522,7327999.376
5,589144.3104,7334361.41
6,591011.1433,7340742.655
7,595596.7671,7343453.515
8,491447.1176,7345597.393
9,524342.574,7347406.749
10,540803.9895,7351939.149
11,608450.0979,7351587.722
12,614864.0836,7353366.504
13,551786.3855,7355560.696
14,561848.1048,7356435.359
15,621295.1978,7356971.734
16,474062.496,7359288.277
17,554564.0163,7364696.886
18,548171.7761,7368379.79
19,616826.0055,7369818.993
20,617823.1492,7379884.139
21,426365.3825,7386588.151
22,616056.8328,7388145.219
23,441917.3343,7393074.101
24,423578.0181,7393906.532
25,429995.5564,7393938.657
26,435496.2577,7393963.951
27,616107.8165,7394562.272
28,451066.0552,7398608.918
29,492332.2719,7399605.667
30,618895.8152,7399125.548
31,434550.7996,7400378.754
32,425374.2439,7401252.18
33,443715.5421,7402251.277
34,487744.5362,7402354.073
35,507924.7253,7403274.337
36,468478.0725,7404160
37,457464.1332,7405967.147
38,434522.1761,7406800.442
39,462966.8359,7406899.573
40,476730.136,7406927.789
41,513431.9791,7406940.064
42,495080.7679,7407862.948
43,423501.537,7408582.608
44,444608.6313,7408677.175
45,486821.5198,7408775.501
46,439098.6917,7409573.147
47,507928.1874,7409696.955
48,547390.351,7409622.829
49,453773.9439,7412380.024
50,492325.5697,7412450.499
51,499668.6749,7412452.493
52,414297.6459,7413121.399
53,428067.6853,7413194.991
54,435411.5907,7413228.982
55,516191.681,7413361.524
56,420718.7679,7414075.374
57,446423.9868,7414191.111
58,505176.6481,7414287.478
59,393169.6359,7414819.795
60,478553.2138,7415190.836
61,486815.7741,7415200.529
62,472125.0251,7416098.194
63,408766.8424,7416760.906
64,440904.7722,7416924.442
65,451001.9339,7417879.62
66,415184.0178,7418635.803
67,518034.304,7418868.111
68,458342.7559,7419738.76
69,467526.3307,7419761.776
70,493240.0962,7419795.883
71,389455.7486,7420302.815
72,426190.4212,7421450.193
73,474868.4708,7422531.39
74,448227.8921,7423380.788
75,481296.9521,7423459.455
76,518960.8274,7425296.396
77,441786.8635,7426112.987
78,387569.9199,7426720
79,409623.4254,7426870.739
80,416055.5212,7426908.527
81,426162.9607,7426962.273
82,458319.5036,7428006.314
83,449127.5827,7428896.575
84,491398.0745,7428981.231
85,396739.8263,7429543.747
86,413272.0865,7431487.736
87,441765.2427,7431626.661
88,475771.9935,7431720.979
89,518051.0727,7432648.879
90,499668.202,7433579
91,506102.5909,7433577.752
92,381997.9993,7434030.447
93,387514.2691,7434073.162
94,460139.9998,7434444.858
95,396701.5219,7435059.19
96,432557.3626,7435264.776
97,425197.8742,7436149.038
98,376443.5297,7438583.38
99,514380.7097,7439088.282
100,382874.0218,7439555.024
101,392071.1545,7439624.396
102,457366.407,7439953.87
103,462881.7815,7440888.253
104,500587.69,7440934.395
105,403095.5283,7441539.633
106,409528.4894,7442499.846
107,489550.574,7442770.17
108,388364.8183,7443276.627
109,435279.5197,7443553.467
110,370877.6837,7444055.822
111,399391.5588,7445194.966
112,512547.036,7445528.112
113,382823.5257,7445994.475
114,393864.8216,7446076.879
115,417786.7688,7446227.459
116,450907.95,7446372.799
117,445384.4906,7447273.716
118,495067.6533,7447372.546
119,375439.5333,7448695.672
120,403968.0723,7448905.743
121,431574.8249,7449057.29
122,357024.1795,7449451.671
123,438012.4256,7450005.554
124,457337.5452,7450073.031
125,385548.7162,7450617.116
126,425124.1638,7450867.021
127,517153.045,7451044.191
128,368973.1998,7451401.932
129,415915.6682,7451738.598
130,491384.812,7451971.833
131,503349.1169,7451973.933
132,352394.9215,7452168.57
133,397501.1305,7452544.549
134,527279.4643,7452869.868
135,380924.7875,7453342.749
136,434315.2802,7453671.361
137,453645.2225,7453743.505
138,408535.6158,7454456.989
139,442596.0734,7454625.831
140,345922.3751,7454865.861
141,402085.5257,7455336.97
142,423255.273,7456380.708
143,488620.3292,7456572.36
144,516238.7419,7456567.895
145,356033.1368,7456807.958
146,391024.2912,7457102.341
147,415884.7323,7457261.996
148,498747.0017,7457497.257
149,510715.7088,7457493.491
150,371679.6064,7457870.58
151,377204.8449,7457916.71
152,456393.2538,7458354.791
153,432449.4835,7459187.126
154,504271.5413,7459338.154
155,367050.7706,7460593.515
156,420468.9256,7460970.415
157,383622.3809,7461651.821
158,358743.8595,7462360.312
159,402037.5705,7462703.945
160,425985.5753,7462840.59
161,436117.1478,7462886.943
162,498746.5417,7463022.288
163,456377.25,7463880.267
164,346749.393,7464085.857
165,377152.2636,7464364.158
166,466507.0596,7464827.28
167,416759.6677,7465556.009
168,520854.5739,7465771.204
169,472028.7108,7467602.177
170,338417.7685,7467685.219
171,358692.0915,7467888.49
172,425958.4568,7468367.955
173,498746.0825,7468549.346
174,364212.9573,7468860.748
175,369742.3592,7468909.421
176,381722.4565,7469007.935
177,404760.1644,7469170.68
178,420425.2037,7469261.281
179,343928.2197,7469586.617
180,351301.619,7469660.942
181,434242.9561,7470249.206
182,462808.9214,7470346.459
183,516253.632,7470383.464
184,502432.0549,7472235.031
185,374319.4997,7472635.081
186,387224.1275,7472736.728
187,409345.482,7472885.375
188,417635.7317,7473854.498
189,467408.3257,7474043.408
190,338348.8269,7474137.724
191,364163.3146,7474391.203
192,397350.7116,7474652.433
193,345715.2156,7475136.628
194,440671.7446,7475805.836
195,370600.8918,7476291.597
196,378898.8681,7476360.148
197,426839.7668,7476667.273
198,639797.7163,7476199.278
199,352151.2895,7477045.072
200,401941.9847,7477448.699
201,497823.412,7477765.497
202,471086.2985,7478660.042
203,366880.4887,7479948.184
204,375180.5627,7480018.675
205,450796.8349,7480451.92
206,458173.5831,7480474.028
207,341969.5033,7480631.81
208,361338.5834,7480820.952
209,413906.8843,7481209.801
210,465548.1946,7481414.666
211,598338.2863,7481135.476
212,335502.896,7481485.682
213,381621.682,7481914.887
214,387155.5512,7481956.982
215,347485.1308,7482533.181
216,392682.84,7482919.383
217,627873.5915,7483682.885
218,353002.0178,7484432.697
219,373290.0032,7485537.76
220,400043.4042,7485736.933
221,421260.5626,7485861.456
222,471994.6781,7486039.318
223,478451.5863,7486049.826
224,358520.1666,7486330.36
225,466458.1354,7486950.579
226,367738.5736,7487335.939
227,378810.6463,7487428.035
228,343738.4497,7488031.554
229,395411.8624,7488473.737
230,412019.8278,7488578.648
231,436927.06,7489624.722
232,385248.3785,7490246.227
233,484903.9077,7490670.353
234,331711.1688,7490672.614
235,417540.7371,7491377.772
236,429537.1349,7491437.875
237,477521.0107,7491583.985
238,518121.836,7491589.78
239,627935.5602,7491064.288
240,471060.0047,7492495.884
241,338152.6074,7492588.597
242,367690.5544,7492873.062
243,373228.6414,7492920.035
244,411987.9017,7494115.554
245,490437.7385,7494366.031
246,349211.4275,7494548.224
247,343662.8454,7495415.8
248,382437.3105,7495763.069
249,332573.4893,7496221.822
250,448896.9938,7497052.662
251,472895.8037,7498037.119
252,482127.2005,7498050.682
253,376876.0642,7498489.232
254,415654.3812,7498751.966
255,636307.5847,7498377.534
256,338084.1963,7499051.687
257,429498.8392,7499745.257
258,492280.7704,7499905.554
259,626158.3071,7499387.961
260,660335.2821,7499991.932
261,346377.0099,7500984.347
262,382394.7642,7501302.994
263,514440.4298,7501747.301
264,496896.4414,7502677.173
265,652965.4459,7501914.62
266,331579.0807,7502676.48
267,422093.6855,7503403.138
268,474732.9532,7503580.123
269,414700.2997,7504287.408
270,484890.2416,7504516.987
271,428549.7369,7505281.746
272,490430.8201,7505444.995
273,339863.6853,7505536.883
274,518139.3263,7506360.875
275,379580.8171,7506823.456
276,385123.7479,7506865.892
277,648391.9514,7506578.792
278,656707.1498,7506496.242
279,436850.9527,7508089.278
280,453478.902,7508148.583
281,479344.112,7508205.09
282,495971.575,7508218.438
283,330594.2128,7508209.751
284,346303.046,7508374.771
285,422989.4318,7508949.948
286,636397.8701,7508537.926
287,445158.3781,7509968.839
288,486732.5106,7510060.849
289,504285.8064,7510065.972
290,430371.8931,7510832.984
291,520916.5246,7510976.244
292,338881.7308,7511071.506
293,350896.28,7511192.535
294,356432.6915,7512169.423
295,385082.3487,7512409.785
296,498742.4369,7512838.339
297,535703.5358,7512797.02
298,420193.9089,7513555.823
299,493197.8861,7513760.94
300,530161.1408,7513732.93
301,657697.3532,7512955.634
302,334230.7922,7513795.393
303,425734.2676,7514507.697
304,479335.4335,7514672.701
305,434972.1753,7515473.643
306,504287.349,7515610.114
307,362869.2814,7515925.608
308,390594.4232,7517071.527
309,496893.4585,7517458.888
310,345286.2519,7517608.564
311,354531.9469,7517698.426
312,385041.022,7517955.675
313,418321.1641,7518167.546
314,487649.7079,7518378.591
315,379486.8847,7518837.909
316,406297.9807,7519023.779
317,436801.7196,7520103.156
318,501515.2337,7520232.277
319,349882.1855,7520428.145
320,431250.5615,7521004.019
321,534798.2499,7521117.692
322,409974.4159,7522744.158
323,421070.8178,7522804.73
324,484872.1126,7522998.606
325,490419.9151,7523003.034
326,381300.4992,7523475.638
327,526482.2203,7523908.012
328,650401.9256,7523200.105
329,346146.4446,7524091.217
330,387760.7945,7525373.643
331,452501.1224,7525707.345
332,458050.0231,7525723.36
333,465448.5185,7525741.623
334,496891.7868,7525779.832
335,415502.465,7526474.68
336,434000.6086,7526564.474
337,443249.4982,7526601.092
338,470993.9019,7527602.725
339,393291.1675,7528187.815
340,423817.6086,7528367.747
341,461740.1495,7529432.622
342,532966.8903,7529444.767
343,348867.2449,7529669.287
344,438610.4277,7530283.47
345,572748.218,7530234.408
346,343296.7794,7531464.975
347,406219.6461,7531972.116
348,444154.4146,7532154.74
349,385856.5363,7532761.272
350,426570.7911,7533006.888
351,433973.0727,7533040.087
352,524647.5234,7533160.755
353,335873.807,7533239.539
354,394178.4264,7533745.562
355,414536.8169,7533870.756
356,486711.8783,7534099.882
357,518171.9016,7534094.943
358,367333.0646,7534465.287
359,458025.0234,7534974.264
360,492263.1886,7535028.957
361,465425.8723,7535917.861
362,347878.5815,7536138.659
363,404340.6593,7536587.882
364,341389.3303,7536999.731
365,387673.863,7537402.234
366,527431.4137,7537783.025
367,353415.1904,7538043.367
368,398775.3228,7538404.002
369,411734.4886,7538482.782
370,436726.3426,7538604.281
371,417283.4094,7539438.907
372,444127.8477,7539558.209
373,393208.6091,7540218.403
374,422832.9377,7540393.091
375,368203.7803,7540953.101
376,430234.6421,7541353.724
377,496888.6413,7541509.36
378,334859.9619,7541561.956
379,343194.2867,7541647.903
380,357084.3341,7541781.253
381,463559.8976,7542392.904
382,532068.541,7542402.496
383,507072.5529,7543359.646
384,380218.9744,7543827.981
385,412629.0349,7544042.836
386,351501.9763,7544507.641
387,445959.9288,7545119.632
388,387613.8758,7545735.168
389,437622.3623,7546014.617
390,453364.9871,7546069.489
391,495035.703,7546138.237
392,700637.2794,7544851.775
393,393164.2866,7546700.263
394,419096.4226,7546855.867
395,426505.3831,7546892.428
396,432062.0472,7546917.546
397,528373.7555,7547039.331
398,510779.1218,7547987.44
399,339423.5852,7548093.842
400,363509.5669,7548322.36
401,442242.3206,7548810.769
402,470028.069,7548888.611
403,344972.8774,7549076.298
404,408892.7807,7549578.539
405,503370.5742,7549843.134
406,548756.1139,7549767.618
407,422782.6436,7550579.504
408,448719.6635,7550685.847
409,497813.0802,7550769.598
410,428336.4194,7551532.265
411,391273.3646,7552245.544
412,415361.8829,7552394.045
413,530236.6229,7552593.278
414,357909.4253,7552905.429
415,365322.4619,7552970.817
416,396826.264,7553209.62
417,434813.3904,7553413.432
418,444078.2052,7553449.189
419,515415.1857,7553541.272
420,524679.6881,7553529.435
421,474649.9825,7554454.848
422,402373.9954,7555098.378
423,409787.1164,7555142.716
424,419979.9937,7555197.966
425,455190.5634,7555337.915
426,492253.0995,7555399.935
427,505225.1893,7556327.56
428,550629.5426,7556246.846
429,361583.2889,7556645.516
430,439431.5178,7557138.357
431,449625.1576,7557174.336
432,528392.2003,7557229.421
433,542292.3566,7557198.163
434,432013.8723,7558034.774
435,511712.8479,7558177.396
436,522833.5183,7558165.179
437,415326.9207,7558880.607
438,476496.0671,7559090.946
439,393075.9197,7559672.04
440,399564.4428,7559714.792
441,464445.7974,7559995.142
442,470933.6694,7560008.463
443,495958.1323,7560034.788
444,420878.6317,7560763.337
445,443124.9067,7560859.426
446,453320.9076,7560892.96
447,485762.1673,7560955.725
448,406041.814,7561608.804
449,507080.9128,7561887.482
450,546939.6013,7561819.126
451,724023.1483,7560295.585
452,480198.5191,7562803.596
453,501519.374,7562815.966
454,492248.9913,7563741.153
455,520987.483,7563729.087
456,387481.1482,7564268.698
457,434767.2831,7564535.211
458,527478.4677,7564646.193
459,695309.4712,7563460.52
460,418073.7004,7565384.536
461,441253.7991,7565487.884
462,512645.5211,7565592.194
463,535824.5738,7565556.587
464,396741.142,7566186.651
465,424559.7758,7566344.145
466,474630.569,7566504.056
467,541390.0283,7566470.173
468,410645.3894,7567198.844
469,507083.411,7567450.094
470,358702.9797,7567746.985
471,480191.5355,7568366.555
472,403215.2385,7569009.933
473,450514.0177,7569228.839
474,531196.0674,7569275.53
475,436599.2286,7570106.593
476,444946.3864,7570137.865
477,495028.0899,7570232.941
478,546964.4317,7570163.965
479,415262.1866,7570934.175
480,501520.1774,7571161.106
481,422678.019,7571899.759
482,475549.1784,7572069.797
483,489462.2804,7572085.18
484,355878.161,7572360.121
485,385566.2507,7572602.607
486,431949.9097,7572869.979
487,456995.6923,7572957.837
488,526565.3881,7572993.961
489,391126.139,7573569.603
490,396692.6624,7573606.897
491,514507.496,7573937.226
492,521001.0379,7573929.946
493,379985.8463,7574416.953
494,409675.6764,7574614.056
