Number,coords.x1,coords.x2
1,678061.4399,7218002.218
2,676332.1886,7224367.235
3,688162.0925,7227834.816
4,669206.8013,7234429.917
5,696424.1002,7234973.262
6,679217.0204,7237023.57
7,703719.9977,7237588.285
8,691953.1127,7239572.843
9,711912.2681,7239278.865
10,668400.325,7242604.414
11,678392.6347,7243385.705
12,697487.7226,7245847.551
13,675740.0621,7248866.201
14,712974.2594,7249248.456
15,681210.4911,7250611.22
16,702092.6143,7250320.623
17,693025.954,7251358.818
18,717585.6627,7253717.979
19,678545.646,7255186.912
20,696709.7285,7254939.913
21,706700.5042,7254793.857
22,674039.1539,7257969.671
23,684031.0638,7257840.17
24,689506.2602,7259583.383
25,701317.14,7259416.423
26,719517.6516,7260957.184
27,675016.4667,7263409.328
28,680468.7246,7263339.333
29,695008.5972,7263142.167
30,686854.3443,7265072.551
31,703227.6254,7265751.199
32,666882.0459,7267145.476
33,708695.2162,7266579.178
34,696903.6003,7268570.159
35,680563.3924,7270610.988
36,723299.048,7269989.522
37,673312.605,7272522.12
38,703320.8437,7272115.481
39,688795.6788,7274139.544
40,716095.0646,7274651.951
41,669719.844,7276204.602
42,710651.1877,7275645.284
43,726115.8621,7275402.612
44,677007.6474,7277023.545
45,683374.9228,7276941.143
46,670696.2133,7281651.68
47,693444.0704,7281354.781
48,708913.7162,7281131.674
49,714373.8216,7281048.828
50,680716.8298,7282435.559
51,722578.7344,7281830.636
52,687098.8826,7283261.636
53,711712.7487,7285641.349
54,673493.679,7287078.401
55,719023.9003,7287349.929
56,693544.9198,7288636.297
57,685363.2615,7289657.666
58,700841.5027,7289444.132
59,722723.7298,7290934.798
60,676293.204,7292506.824
61,703652.4504,7294868.867
62,689091.1021,7295983.71
63,713686.1767,7295630.775
64,675450.9246,7297982.939
65,695492.7428,7297718.286
66,725602.2948,7300001.289
67,690987.1684,7301425.461
68,702873.0463,7303993.759
69,696505.5842,7304995.698
70,716573.4363,7305613.304
71,691061.3454,7306894.003
72,710205.6722,7306621.566
73,729351.5144,7306323.093
74,703863.5926,7309450.473
75,696594.5033,7311377.655
76,709375.1457,7312106.188
77,720319.6391,7311939.783
78,692072.1466,7314176.338
79,703955.6991,7315834.679
80,714902.7694,7315672.682
81,719506.6232,7318339.829
82,724112.3014,7321006.142
83,707698.2576,7322168.807
84,692195.8623,7323300.035
85,715041.1234,7324798.391
86,705026.1568,7326772.604
87,719647.8102,7327467.481
88,709631.28,7329445.194
89,683175.1744,7331636.728
90,714238.2195,7332116.949
91,705118.2279,7333164.651
92,674077.1678,7334490.868
93,726169.7662,7335587.476
94,719788.6354,7336601.003
95,737148.5697,7336323.209
96,711579.5091,7337638.854
97,706123.8992,7339546.423
98,684241.4777,7343501.034
99,739082.9752,7342690.247
100,673285.6594,7344551.87
101,710760.0817,7344049.47
102,716244.6101,7343967.712
103,722643.3906,7343869.67
104,672382.7108,7345476.872
105,697975.9617,7345146.119
106,708031.1383,7345003.657
107,715344.2546,7344895.61
108,740942.0124,7344487.998
109,732728.6836,7345538.265
110,666016.5095,7348294.621
111,702585.1962,7347824.817
112,693454.8849,7348865.294
113,719985.1802,7349397.77
114,659647.9696,7351109.924
115,741948.8065,7349959.226
116,709953.0342,7351377.354
117,654181.7538,7352998.565
118,702662.6065,7353311.549
119,731017.8358,7352883.909
120,684382.3812,7354472.326
121,746584.7028,7353540.449
122,664271.8081,7355630.748
123,695370.5165,7355242.142
124,714594.0204,7355883.323
125,735636.545,7355554.235
126,651486.6563,7357600.491
127,742056.5788,7356362.954
128,721026.1435,7357616.295
129,700909.9439,7358826.005
130,709144.8352,7358708.853
131,726530.5466,7358446.058
132,646959.8178,7362222.022
133,716506.1913,7361346.12
134,737556.9221,7361014.874
135,761355.9314,7360603.363
136,730249.3048,7362048.871
137,636912.5795,7364151.024
138,691821.2084,7363526.074
139,746741.3534,7362692.04
140,703732.3925,7364278.421
141,723884.7231,7364895.801
142,755012.8992,7364379.975
143,643345.3315,7366834.387
144,697350.1526,7366198.095
145,711081.8967,7366004.123
146,733969.9227,7365651.807
147,763286.867,7366063.587
148,717517.851,7367740.251
149,728519.9758,7368486.571
